participant_id,stimulus_type,trial_number,stimulus,old_or_new,response,correct,rt
20250516121111663644_9872,images,1,59,new,u,0,0.6249847412109375
20250516121111663644_9872,images,2,60,old,u,1,0.9462451934814453
20250516121111663644_9872,images,3,52,old,u,1,0.8686788082122803
20250516121111663644_9872,images,4,54,old,u,1,1.2886497974395752
20250516121111663644_9872,images,5,56,new,u,0,1.0724670886993408
20250516121111663644_9872,images,6,53,old,u,1,0.9558610916137695
20250516121111663644_9872,images,7,49,new,u,0,0.3934488296508789
20250516121111663644_9872,images,8,58,new,u,0,1.0099568367004395
20250516121111663644_9872,images,9,61,new,u,0,0.7777431011199951
20250516121111663644_9872,images,10,51,old,u,1,0.5455412864685059
