participant_id,stimulus_type,trial_number,stimulus,old_or_new,response,correct,rt
20250516114240609122_4702,images,1,1,old,u,1,2.3799259662628174
20250516114240609122_4702,images,2,14,old,u,1,0.5064060688018799
20250516114240609122_4702,images,3,15,old,u,1,0.34223508834838867
20250516114240609122_4702,images,4,8,new,u,0,1.104694128036499
20250516114240609122_4702,images,5,12,old,u,1,0.4687628746032715
20250516114240609122_4702,images,6,6,new,u,0,0.3725767135620117
20250516114240609122_4702,images,7,9,old,u,1,0.5579068660736084
20250516114240609122_4702,images,8,13,new,u,0,1.8399028778076172
20250516114240609122_4702,images,9,5,new,u,0,0.42347097396850586
20250516114240609122_4702,images,10,10,new,u,0,0.29332828521728516
