participant_id,stimulus_type,trial_number,stimulus,old_or_new,response,correct,rt
20250516120827847629_4737,images,1,47,old,u,1,15.557585954666138
20250516120827847629_4737,images,2,60,old,u,1,0.584913969039917
20250516120827847629_4737,images,3,61,new,i,1,2.2390589714050293
20250516120827847629_4737,images,4,55,old,i,0,0.3472268581390381
20250516120827847629_4737,images,5,50,new,i,1,0.38788628578186035
20250516120827847629_4737,images,6,53,new,i,1,0.3160228729248047
20250516120827847629_4737,images,7,48,old,i,0,0.1498100757598877
20250516120827847629_4737,images,8,56,old,i,0,0.12040209770202637
20250516120827847629_4737,images,9,59,new,i,1,0.0018000602722167969
20250516120827847629_4737,images,10,52,new,i,1,0.29245710372924805
