participant_id,stimulus_type,trial_number,stimulus,old_or_new,response,correct,rt
20250516121935617959_9333,images,1,19,old,u,1,0.35799407958984375
20250516121935617959_9333,images,2,26,old,u,1,0.43802523612976074
20250516121935617959_9333,images,3,31,old,u,1,0.22217226028442383
20250516121935617959_9333,images,4,21,new,u,0,0.2938051223754883
20250516121935617959_9333,images,5,30,new,u,0,0.15529513359069824
20250516121935617959_9333,images,6,20,new,u,0,0.33146190643310547
20250516121935617959_9333,images,7,17,old,u,1,0.32813310623168945
20250516121935617959_9333,images,8,23,new,u,0,0.2754628658294678
20250516121935617959_9333,images,9,22,new,u,0,0.2840569019317627
20250516121935617959_9333,images,10,18,old,u,1,0.27958202362060547
